Soil;G;qt ;fs;u;gamma;mq;Rf
Mining tailing - bauxit;"3,139";"206,22";"2,5";"31,9";"20,43";"103,11";"2,3"
Mining tailing - bauxit;"3,139";"391,6";"6,88";"59,27";"20,5";"78,32";"1,91"
Mining tailing - bauxit;"3,139";"502,68";"11,24";"227,07";"18,37";"50,268";"2,3"
Mining tailing - bauxit;"3,139";"280,38";"3,41";"33,35";"20,43";"140,19";"3,32"
Mining tailing - bauxit;"3,139";"367,93";"4,42";"78,13";"20,5";"73,586";"1,5"
Mining tailing - bauxit;"3,139";"454,53";"8,89";"218,25";"18,37";"45,453";"1,61"
Mining tailing - bauxit;"3,139";"942,72";"23,29";"349,27";"18,42";"62,848";"3,63"
Mining tailing - bauxit;"3,139";"954,58";"17,28";"464,52";"17,63";"53,03222222";"2,44"
Mining tailing - bauxit;"3,095";"128,12";"2,07";"31,43";"19,23";"64,06";"1,32"
Mining tailing - bauxit;"3,095";"217,71";"3,76";84;"20,12";"43,542";"1,66"
Mining tailing - bauxit;"3,095";"413,6";"7,9";"203,47";"20,17";"41,36";"2,03"
Mining tailing - bauxit;"3,095";"796,44";"9,03";"308,25";"19,25";"53,096";"2,21"
Mining tailing - bauxit;"3,095";"926,16";"14,75";"434,41";"17,85";"46,308";2
Mining tailing - bauxit;"3,046";402;"7,08";"147,05";"17,01";"40,2";"1,9"
Mining tailing - bauxit;"3,046";"601,84";"4,39";"251,42";"17,97";"40,12266667";"0,79"
Mining tailing - bauxit;"3,046";"915,91";"19,11";"312,78";"17,27";"45,7955";"2,74"
Mining tailing - bauxit;"3,064";"673,42";"3,65";-17;"16,93";"336,71";"0,55"
Mining tailing - bauxit;"3,064";"533,91";"7,62";"55,51";"18,17";"106,782";"1,14"
Mining tailing - bauxit;"3,064";"488,3";5;"133,61";"17,08";"48,83";"1,84"
Mining tailing - bauxit;"3,064";"595,99";"7,38";"261,96";"17,22";"39,73266667";"1,75"
Mining tailing - bauxit;"3,064";"733,68";"7,51";"337,69";"16,86";"40,76";"1,09"
Mining tailing - bauxit;"2,984";"1102,23";"11,65";"142,88";"18,44";"110,223";"0,84"
Mining tailing - bauxit;"2,984";"659,39";"9,56";"345,32";"17,46";"43,95933333";"1,59"
Mining tailing - bauxit;"2,984";"1214,63";"15,92";"451,24";"18,14";"60,7315";"1,23"
Mining tailing - bauxit;"3,07";"270,59";"4,22";"41,24";"18,17";"135,295";"2,42"
Mining tailing - bauxit;"3,07";"2003,14";"17,49";"-14,43";"17,11";"400,628";"1,48"
Mining tailing - bauxit;"3,07";"1357,17";"17,91";"299,81";"16,89";"84,823125";"1,84"
Mining tailing - bauxit;"3,033";"110,65";"2,16";"55,43";"16,61";"55,325";"7,13"
Mining tailing - bauxit;"3,033";"171,5";"3,64";"103,87";"16,62";"34,3";"2,21"
Mining tailing - bauxit;"3,033";"323,81";"8,22";"142,52";"15,75";"32,381";"3,4"
Mining tailing - bauxit;"3,033";"449,65";"8,65";"236,82";"16,15";"29,97666667";"2,14"
Mining tailing - bauxit;"3,033";763;14;"423,09";"16,51";"38,15";"2,17"
Mining tailing - bauxit;"3,028";"120,2";"1,47";"55,85";"16,08";"60,1";"0,98"
Mining tailing - bauxit;"3,028";"219,84";"2,68";"108,17";"16,49";"43,968";"1,03"
Mining tailing - bauxit;"3,028";386;"6,5";"206,47";"17,41";"38,6";"2,17"
Mining tailing - bauxit;"3,028";"608,12";"11,05";"304,55";"18,18";"40,54133333";"2,34"
Mining tailing - bauxit;"3,028";"814,18";"13,97";"413,74";"17,51";"40,709";"2,11"
Mining tailing - bauxit;"3,121";"210,43";"4,01";"36,61";"16,82";"105,215";"2,01"
Mining tailing - bauxit;"3,121";"231,45";"5,07";"125,43";"17,35";"46,29";"2,34"
Mining tailing - bauxit;"3,121";"464,63";"8,95";"199,9";"17,26";"46,463";"1,53"
Mining tailing - bauxit;"3,121";"773,08";"11,16";"308,74";"18,52";"51,53866667";"2,03"
Mining tailing - bauxit;"3,121";"753,95";"16,94";"445,1";"18,28";"37,6975";"2,98"
Mining tailing - bauxit;"3,061";"152,37";"1,4";"100,38";"13,48";"152,37";"0,26"
Mining tailing - bauxit;"2,989";"247,89";"3,56";"104,8";"17,12";"123,945";"2,2"
Mining tailing - bauxit;"3,052";"280,72";"4,13";"142,64";"18,05";"93,57333333";"1,67"
Mining tailing - bauxit;"3,115";"314,72";"4,73";"168,64";"17,19";"78,68";"1,61"
Mining tailing - bauxit;"3,131";"383,77";"6,51";"178,12";"18,28";"76,754";"1,94"
Mining tailing - bauxit;"3,017";"425,39";"6,32";"202,72";"16,16";"70,89833333";"1,69"
Mining tailing - bauxit;"3,013";"448,83";"6,4";"225,53";"17,66";"64,11857143";"1,66"
Mining tailing - bauxit;"3,154";"496,67";"6,59";"243,11";"16,84";"62,08375";"1,61"
Mining tailing - bauxit;"3,184";"566,7";"7,11";"258,53";"16,7";"62,96666667";"1,52"
Mining tailing - bauxit;"3,028";"606,79";"7,89";"271,52";"16,94";"60,679";"1,46"
Mining tailing - bauxit;"3,13";"646,06";"6,8";"317,07";"18,01";"58,73272727";"1,14"
Mining tailing - bauxit;"3,005";"697,45";"7,38";"335,16";"17,47";"58,12083333";"1,12"
Mining tailing - bauxit;"2,95";"770,04";"8,29";"358,29";"17,09";"59,23384615";"1,18"
